Most popular names for babies in the U.S.

Liam	19837	1	18798	1	18218	2
Noah	18267	2	18410	2	19117	1
William	14516	3	14967	3	15761	3
James	13525	4	14291	4	14862	5
Oliver	13389	5	13193	9	13037	12
Benjamin	13381	6	13797	6	14641	6
Elijah	12886	7	13344	8	13902	9
Lucas	12585	8	12996	11	12881	14
Mason	12435	9	13549	7	15244	4
Logan	12352	10	14014	5	11244	18
Alexander	11989	11	12519	13	13408	11
Ethan	11854	12	12439	14	13819	10
Jacob	11770	13	13178	10	14510	7
Michael	11620	14	12639	12	14088	8
Daniel	11173	15	11691	15	12944	13
Henry	10649	16	10461	18	10374	22
Jackson	10323	17	10399	20	11284	17
Sebastian	10054	18	10172	23	10286	24
Aiden	9979	19	11303	17	12228	16
Matthew	9924	20	11671	16	12621	15
Samuel	9734	21	10395	21	10576	21
David	9697	22	10187	22	11110	19
Joseph	9555	23	10437	19	10918	20
Carter	9312	24	9787	24	10185	26
Owen	9288	25	9338	28	10294	23
Wyatt	9127	26	9688	25	9561	33
John	9119	27	9486	27	10013	28
Jack	8834	28	8454	35	8413	38
Luke	8577	29	9195	30	9984	29
Jayden	8553	30	9534	26	10121	27
Dylan	8549	31	9295	29	9694	32
Grayson	8538	32	8679	34	8673	37
Levi	8440	33	8418	37	8078	42
Isaac	8417	34	8851	32	9742	31
Gabriel	8335	35	9131	31	10229	25
Julian	8307	36	8422	36	8374	39
Mateo	8169	37	7757	42	6549	59
Anthony	8003	38	8833	33	9865	30
Jaxon	7701	39	7673	44	8114	41
Lincoln	7368	40	8179	41	7115	50
Joshua	7364	41	8284	39	9204	35
Christopher	7261	42	8285	38	9066	36
Andrew	7234	43	8251	40	9390	34
Theodore	7020	44	5950	60	4899	82
Caleb	6929	45	7125	49	7958	44
Ryan	6905	46	7674	43	8240	40
Asher	6802	47	6030	58	5502	71
Nathan	6790	48	7418	45	7981	43
Thomas	6779	49	7162	48	7348	48
Leo	6719	50	5950	60	5287	74
Isaiah	6614	51	7212	46	7519	47
Charles	6604	52	7162	48	7107	51
Josiah	6603	53	7016	50	6983	55
Hudson	6540	54	5781	62	6120	61
Christian	6509	55	6996	51	7633	46
Hunter	6066	56	6722	52	7651	45
Connor	6058	57	6404	55	7025	54
Eli	6027	58	6601	53	7100	52
Ezra	6000	59	5320	67	4865	84
Aaron	5953	60	7196	47	7157	49
Landon	5827	61	6343	56	7029	53
Adrian	5788	62	6219	57	6330	60
Jonathan	5712	63	6503	54	6957	56
Nolan	5607	64	5389	65	5626	67
Jeremiah	5561	65	5840	61	6583	58
Easton	5429	66	5502	64	5636	65
Elias	5310	67	4912	76	4478	93
Colton	5284	68	5278	68	5606	68
Cameron	5271	69	5954	59	6841	57
